<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: timeline_1969_2026_halfyear_116.csv>index,unit,period,start,end,selected_delta,keep,retire_or_deprecate,repair_or_integrate,source_ids
13,U013,1975-H2,1975-07-01,1975-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
14,U014,1976-H1,1976-01-01,1976-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
15,U015,1976-H2,1976-07-01,1976-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
16,U016,1977-H1,1977-01-01,1977-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
17,U017,1977-H2,1977-07-01,1977-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
18,U018,1978-H1,1978-01-01,1978-06-30,NETWORKING: Alice/Bob terminology enters cryptographic literature,named sender/receiver roles,opaque A/B-only notation,retain human-readable role names; extend roles explicitly,ALICEBOB
19,U019,1978-H2,1978-07-01,1978-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
20,U020,1979-H1,1979-01-01,1979-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
21,U021,1979-H2,1979-07-01,1979-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
22,U022,1980-H1,1980-01-01,1980-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
23,U023,1980-H2,1980-07-01,1980-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
24,U024,1981-H1,1981-01-01,1981-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
25,U025,1981-H2,1981-07-01,1981-12-31,NETWORKING: RFC 791: Internet Protocol | NETWORKING: RFC 793: Transmission Control Protocol,best-effort datagram internetworking | reliable ordered byte stream,network-specific routing semantics | original spec fragmentation across decades,retain minimal packet layer | retain semantics; later consolidate spec,IP;TCP793
26,U026,1982-H1,1982-01-01,1982-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
27,U027,1982-H2,1982-07-01,1982-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
28,U028,1983-H1,1983-01-01,1983-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
29,U029,1983-H2,1983-07-01,1983-12-31,NETWORKING: RFC 882: Domain Names concepts and facilities,hierarchical names separate from addresses,flat host tables,retain naming indirection; revise protocol details,DNS882
30,U030,1984-H1,1984-01-01,1984-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
31,U031,1984-H2,1984-07-01,1984-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
32,U032,1985-H1,1985-01-01,1985-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
33,U033,1985-H2,1985-07-01,1985-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
34,U034,1986-H1,1986-01-01,1986-06-30,STORAGE_ISOLATION: 1986: SCSI-1 standard,standard command/interface boundary for storage,per-device proprietary interfaces,retain controller/device abstraction,SCSI
35,U035,1986-H2,1986-07-01,1986-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
36,U036,1987-H1,1987-01-01,1987-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
37,U037,1987-H2,1987-07-01,1987-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
38,U038,1988-H1,1988-01-01,1988-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
39,U039,1988-H2,1988-07-01,1988-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
40,U040,1989-H1,1989-01-01,1989-06-30,NETWORKING: RFC 1105: Border Gateway Protocol | NETWORKING: 1989: World Wide Web proposal at CERN,policy exchange between autonomous systems | link + identifier + document retrieval,single-admin routing assumptions | closed information silos,retain policy boundary; harden convergence/security | retain universal linking; separate content from transport,BGP;WEB
41,U041,1989-H2,1989-07-01,1989-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
42,U042,1990-H1,1990-01-01,1990-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
43,U043,1990-H2,1990-07-01,1990-12-31,"NETWORKING: 1990: first browser/editor, website and server",browser/editor + server + URL/HTTP/HTML set,local-only hypertext,retain client/server and linked-resource primitives,WEBLIVE
44,U044,1991-H1,1991-01-01,1991-06-30,JAVA: 1991: Green Project begins,portable managed-language goal,tight binding to one machine/OS,retain VM abstraction and safety goal,JAVA_GREEN
45,U045,1991-H2,1991-07-01,1991-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
46,U046,1992-H1,1992-01-01,1992-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
47,U047,1992-H2,1992-07-01,1992-12-31,JAVA: 1992: Oak demonstrated on Star-7,portable object language + UI/device runtime,C++ complexity for target use,retain managed portability; rename/evolve,OAK
48,U048,1993-H1,1993-01-01,1993-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
49,U049,1993-H2,1993-07-01,1993-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
50,U050,1994-H1,1994-01-01,1994-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
51,U051,1994-H2,1994-07-01,1994-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
52,U052,1995-H1,1995-01-01,1995-06-30,JAVA: 1995: Java 1.0 introduced,bytecode/JVM portability,browser-centric applet assumptions,retain JVM; eventually retire applets,JAVA1
53,U053,1995-H2,1995-07-01,1995-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
54,U054,1996-H1,1996-01-01,1996-06-30,JAVA: 1996: JDK 1.0 FCS,stable developer/runtime toolchain,draft-era API churn,retain toolchain/spec discipline,JDK1
55,U055,1996-H2,1996-07-01,1996-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
56,U056,1997-H1,1997-01-01,1997-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
57,U057,1997-H2,1997-07-01,1997-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
58,U058,1998-H1,1998-01-01,1998-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
59,U059,1998-H2,1998-07-01,1998-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
60,U060,1999-H1,1999-01-01,1999-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
61,U061,1999-H2,1999-07-01,1999-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
62,U062,2000-H1,2000-01-01,2000-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
63,U063,2000-H2,2000-07-01,2000-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
64,U064,2001-H1,2001-01-01,2001-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
65,U065,2001-H2,2001-07-01,2001-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
66,U066,2002-H1,2002-01-01,2002-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
67,U067,2002-H2,2002-07-01,2002-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
68,U068,2003-H1,2003-01-01,2003-06-30,STORAGE_ISOLATION: 2003: SATA 1.0a,simple serial storage link,wide parallel ATA signaling limits,retain block-device abstraction; simplify physical link,SATA
69,U069,2003-H2,2003-07-01,2003-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
70,U070,2004-H1,2004-01-01,2004-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
71,U071,2004-H2,2004-07-01,2004-12-31,"JAVA: 2004: Java SE 5 generics, annotations, autoboxing, enums, foreach",type-safe generics + language ergonomics,raw collections/manual boxing boilerplate,retain compatibility while lifting type safety,JAVA5
72,U072,2005-H1,2005-01-01,2005-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
73,U073,2005-H2,2005-07-01,2005-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
74,U074,2006-H1,2006-01-01,2006-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
75,U075,2006-H2,2006-07-01,2006-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
76,U076,2007-H1,2007-01-01,2007-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
77,U077,2007-H2,2007-07-01,2007-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
78,U078,2008-H1,2008-01-01,2008-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
79,U079,2008-H2,2008-07-01,2008-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
80,U080,2009-H1,2009-01-01,2009-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
81,U081,2009-H2,2009-07-01,2009-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
82,U082,2010-H1,2010-01-01,2010-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
83,U083,2010-H2,2010-07-01,2010-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
84,U084,2011-H1,2011-01-01,2011-06-30,STORAGE_ISOLATION: 2011: NVMe 1.0,queue-oriented storage over PCIe,SATA/AHCI assumptions for low-latency flash,retain block/namespace model; replace legacy host interface where appropriate,NVME1
85,U085,2011-H2,2011-07-01,2011-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
86,U086,2012-H1,2012-01-01,2012-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
87,U087,2012-H2,2012-07-01,2012-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
88,U088,2013-H1,2013-01-01,2013-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
89,U089,2013-H2,2013-07-01,2013-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
90,U090,2014-H1,2014-01-01,2014-06-30,JAVA: 2014: Java 8 lambda expressions and related language changes,lambdas/functional interfaces/default methods,excess anonymous-class boilerplate,retain JVM compatibility; add composable behavior,JAVA8
91,U091,2014-H2,2014-07-01,2014-12-31,STORAGE_ISOLATION: 2014: NIST SP 800-88 Rev.1 era begins,clear/purge/destroy lifecycle thinking,informal 'delete means gone' assumptions,separate runtime isolation from disposal/sanitization,NIST88R1
92,U092,2015-H1,2015-01-01,2015-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
93,U093,2015-H2,2015-07-01,2015-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
94,U094,2016-H1,2016-01-01,2016-06-30,STORAGE_ISOLATION: 2016: NVMe over Fabrics 1.0,NVMe semantics over fabrics,storage tied only to local PCIe,retain queue/namespace semantics across network fabrics,NVMEOF
95,U095,2016-H2,2016-07-01,2016-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
96,U096,2017-H1,2017-01-01,2017-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
97,U097,2017-H2,2017-07-01,2017-12-31,JAVA: 2017: Java 9 module system | NETWORKING: 2017: RFC 8200 IPv6 specification,explicit modules and strong encapsulation | larger address space + extensible packet format,unchecked reliance on JDK internals | IPv4 address scarcity,retain packages; add explicit dependency boundary | retain IP datagram model; expand addressing,JAVA9;IPV6
98,U098,2018-H1,2018-01-01,2018-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
99,U099,2018-H2,2018-07-01,2018-12-31,NETWORKING: 2018: TLS 1.3 | JAVA: 2018: Java 11 LTS in six-month cadence,simpler safer secure transport handshake | predictable six-month cadence + LTS anchor,legacy weak cryptographic options | rare giant releases,retain authenticated encrypted channel; remove weak choices | retain compatibility while shipping smaller increments,TLS13;JAVA11
100,U100,2019-H1,2019-01-01,2019-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
101,U101,2019-H2,2019-07-01,2019-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
102,U102,2020-H1,2020-01-01,2020-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
103,U103,2020-H2,2020-07-01,2020-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
104,U104,2021-H1,2021-01-01,2021-06-30,NETWORKING: 2021: RFC 9000 QUIC,secure multiplexed streams over UDP with migration,TCP+TLS handshake/HoL limitations for some apps,retain congestion/flow control; move transport evolution to userspace,QUIC
105,U105,2021-H2,2021-07-01,2021-12-31,JAVA: 2021: Java 17 LTS,LTS consolidation,indefinite dependence on old unsupported runtimes,retain LTS rhythm,JAVA17
106,U106,2022-H1,2022-01-01,2022-06-30,NETWORKING: 2022: RFC 9114 HTTP/3,HTTP semantics over QUIC,transport-layer head-of-line coupling in HTTP/2/TCP,retain HTTP semantics; change transport substrate,HTTP3
107,U107,2022-H2,2022-07-01,2022-12-31,NETWORKING: 2022: RFC 9293 consolidates modern TCP | FENG_SHUI_SPATIAL: 2022: exploratory sensor-based feng shui study,single consolidated modern TCP spec | test spatial claims with measured environment/user data,piecemal updates around RFC793 | treating symbolic qi claims as engineering measurements,keep TCP behavior; retire obsolete base spec | retain circulation/orientation hypotheses only when independently testable,TCP9293;FENG_SENSOR
108,U108,2023-H1,2023-01-01,2023-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
109,U109,2023-H2,2023-07-01,2023-12-31,JAVA: 2023: Java 21 LTS,modern LTS including virtual-thread era,thread-per-request cost assumptions,retain Java thread abstraction; make lightweight concurrency practical,JAVA21
110,U110,2024-H1,2024-01-01,2024-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
111,U111,2024-H2,2024-07-01,2024-12-31,STORAGE_ISOLATION: 2024: NVMe 2.1 specification family,modular specification set and richer transports/command sets,single monolithic storage-interface framing,retain namespace/queue primitives; modularize,NVME21
112,U112,2025-H1,2025-01-01,2025-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
113,U113,2025-H2,2025-07-01,2025-12-31,"JAVA: 2025: Java 25 LTS | STORAGE_ISOLATION: 2025: NIST SP 800-88 Rev.2 | FENG_SHUI_SPATIAL: 2025: feng shui used explicitly as a visualization-design metaphor, not empirical truth","current LTS, modern language/runtime/security evolution | program-level sanitization + validation + crypto erase guidance | use cultural metaphor as a memory aid for clarity/accessibility",stagnation on obsolete platform versions | tool-recipes treated as universal sanitization truth | presenting feng shui as empirical visualization physics,retain stable core + rolling previews/LTS | retain outcome/validation; defer techniques to current standards | retain metaphor separately from evidence,JAVA25;NIST88R2;FENG_VIS
114,U114,2026-H1,2026-01-01,2026-06-30,"JAVA: 2026: Java SE 26 | NETWORKING: 2026: RFC 9958 Post-Quantum Cryptography for Engineers | ART_BEAUTY: WCAG 2.2: perceivable, operable, understandable, robust",six-month evolution continues | explicit migration planning for post-quantum cryptography | perceivable/operable/understandable/robust as design constraints,waiting years for language/runtime improvements | assuming classical public-key algorithms are timeless | beauty that excludes users,retain cadence | retain protocol agility and inventory | retain beauty only when the interface remains usable,JAVA26;PQC_ENG;WCAG22
115,U115,2026-H2,2026-07-01,2026-09-19,"NETWORKING: 2026: new TLS protocols must require TLS 1.3 | NETWORKING: 2026: PQ/traditional hybrid key agreements for TLS 1.3 | JAVA: 2026: Java SE 27 | ART_BEAUTY: Current layout guidance: hierarchy, spacing, progressive disclosure","TLS1.3 baseline for new TLS protocols | hybrid PQ + traditional key agreement | latest Java SE language/VM specification | hierarchy, spacing, grouping, progressive disclosure",new designs defaulting to older TLS | single-algorithm transition risk | treating LTS as the only valid current language definition | controls crowding the content,retain secure channel primitive; raise minimum | retain algorithm agility; combine during migration | retain LTS for operations while tracking current spec | retain content-first layout and hide secondary complexity,TLS_REQ;PQTLS;JAVA27;APPLE_LAYOUT
