<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: primitive_matrix_486.csv>index,domain,family_index,family,atom_index,primitive_id,primitive
70,ELECTRONICS,8,Interconnect,8,ELECTRONICS.8.8,termination
71,ELECTRONICS,8,Interconnect,9,ELECTRONICS.8.9,connector
72,ELECTRONICS,9,Boundary & witness,1,ELECTRONICS.9.1,pin
73,ELECTRONICS,9,Boundary & witness,2,ELECTRONICS.9.2,port
74,ELECTRONICS,9,Boundary & witness,3,ELECTRONICS.9.3,interrupt
75,ELECTRONICS,9,Boundary & witness,4,ELECTRONICS.9.4,DMA
76,ELECTRONICS,9,Boundary & witness,5,ELECTRONICS.9.5,MMIO
77,ELECTRONICS,9,Boundary & witness,6,ELECTRONICS.9.6,IOMMU
78,ELECTRONICS,9,Boundary & witness,7,ELECTRONICS.9.7,power domain
79,ELECTRONICS,9,Boundary & witness,8,ELECTRONICS.9.8,probe
80,ELECTRONICS,9,Boundary & witness,9,ELECTRONICS.9.9,timing measurement
81,NETWORKING,1,Message,1,NETWORKING.1.1,symbol
82,NETWORKING,1,Message,2,NETWORKING.1.2,bitstream
83,NETWORKING,1,Message,3,NETWORKING.1.3,message
84,NETWORKING,1,Message,4,NETWORKING.1.4,length
85,NETWORKING,1,Message,5,NETWORKING.1.5,ordering
86,NETWORKING,1,Message,6,NETWORKING.1.6,boundary
87,NETWORKING,1,Message,7,NETWORKING.1.7,encoding
88,NETWORKING,1,Message,8,NETWORKING.1.8,decoding
89,NETWORKING,1,Message,9,NETWORKING.1.9,error
90,NETWORKING,2,Link,1,NETWORKING.2.1,medium
91,NETWORKING,2,Link,2,NETWORKING.2.2,interface
92,NETWORKING,2,Link,3,NETWORKING.2.3,frame
93,NETWORKING,2,Link,4,NETWORKING.2.4,MAC identity
94,NETWORKING,2,Link,5,NETWORKING.2.5,MTU
95,NETWORKING,2,Link,6,NETWORKING.2.6,duplex
96,NETWORKING,2,Link,7,NETWORKING.2.7,link integrity
97,NETWORKING,2,Link,8,NETWORKING.2.8,link state
98,NETWORKING,2,Link,9,NETWORKING.2.9,local delivery
99,NETWORKING,3,Packet,1,NETWORKING.3.1,datagram
100,NETWORKING,3,Packet,2,NETWORKING.3.2,source address
101,NETWORKING,3,Packet,3,NETWORKING.3.3,destination address
102,NETWORKING,3,Packet,4,NETWORKING.3.4,header
103,NETWORKING,3,Packet,5,NETWORKING.3.5,payload
104,NETWORKING,3,Packet,6,NETWORKING.3.6,hop
105,NETWORKING,3,Packet,7,NETWORKING.3.7,TTL/hop-limit
106,NETWORKING,3,Packet,8,NETWORKING.3.8,fragmentation
107,NETWORKING,3,Packet,9,NETWORKING.3.9,reassembly
108,NETWORKING,4,Name & identity,1,NETWORKING.4.1,name
109,NETWORKING,4,Name & identity,2,NETWORKING.4.2,address
110,NETWORKING,4,Name & identity,3,NETWORKING.4.3,namespace
111,NETWORKING,4,Name & identity,4,NETWORKING.4.4,resolver
112,NETWORKING,4,Name & identity,5,NETWORKING.4.5,binding
113,NETWORKING,4,Name & identity,6,NETWORKING.4.6,certificate
114,NETWORKING,4,Name & identity,7,NETWORKING.4.7,key identity
115,NETWORKING,4,Name & identity,8,NETWORKING.4.8,service identity
116,NETWORKING,4,Name & identity,9,NETWORKING.4.9,endpoint
117,NETWORKING,5,Route,1,NETWORKING.5.1,neighbor
118,NETWORKING,5,Route,2,NETWORKING.5.2,next hop
119,NETWORKING,5,Route,3,NETWORKING.5.3,prefix
120,NETWORKING,5,Route,4,NETWORKING.5.4,route
121,NETWORKING,5,Route,5,NETWORKING.5.5,metric
122,NETWORKING,5,Route,6,NETWORKING.5.6,autonomous system
123,NETWORKING,5,Route,7,NETWORKING.5.7,policy
124,NETWORKING,5,Route,8,NETWORKING.5.8,convergence
125,NETWORKING,5,Route,9,NETWORKING.5.9,loop prevention
126,NETWORKING,6,Transport,1,NETWORKING.6.1,port
127,NETWORKING,6,Transport,2,NETWORKING.6.2,connection
128,NETWORKING,6,Transport,3,NETWORKING.6.3,stream
129,NETWORKING,6,Transport,4,NETWORKING.6.4,sequence
130,NETWORKING,6,Transport,5,NETWORKING.6.5,acknowledgment
131,NETWORKING,6,Transport,6,NETWORKING.6.6,flow control
132,NETWORKING,6,Transport,7,NETWORKING.6.7,congestion control
133,NETWORKING,6,Transport,8,NETWORKING.6.8,retransmission
134,NETWORKING,6,Transport,9,NETWORKING.6.9,multiplexing
135,NETWORKING,7,Security,1,NETWORKING.7.1,plaintext
136,NETWORKING,7,Security,2,NETWORKING.7.2,ciphertext
137,NETWORKING,7,Security,3,NETWORKING.7.3,key
138,NETWORKING,7,Security,4,NETWORKING.7.4,authentication
139,NETWORKING,7,Security,5,NETWORKING.7.5,integrity
140,NETWORKING,7,Security,6,NETWORKING.7.6,confidentiality
141,NETWORKING,7,Security,7,NETWORKING.7.7,forward secrecy
142,NETWORKING,7,Security,8,NETWORKING.7.8,handshake
143,NETWORKING,7,Security,9,NETWORKING.7.9,key rotation
144,NETWORKING,8,Application,1,NETWORKING.8.1,request
145,NETWORKING,8,Application,2,NETWORKING.8.2,response
146,NETWORKING,8,Application,3,NETWORKING.8.3,method
147,NETWORKING,8,Application,4,NETWORKING.8.4,status
148,NETWORKING,8,Application,5,NETWORKING.8.5,representation
149,NETWORKING,8,Application,6,NETWORKING.8.6,session
150,NETWORKING,8,Application,7,NETWORKING.8.7,cache
151,NETWORKING,8,Application,8,NETWORKING.8.8,content negotiation
152,NETWORKING,8,Application,9,NETWORKING.8.9,application state
153,NETWORKING,9,Observation,1,NETWORKING.9.1,timestamp
154,NETWORKING,9,Observation,2,NETWORKING.9.2,log
155,NETWORKING,9,Observation,3,NETWORKING.9.3,counter
156,NETWORKING,9,Observation,4,NETWORKING.9.4,trace
157,NETWORKING,9,Observation,5,NETWORKING.9.5,latency
158,NETWORKING,9,Observation,6,NETWORKING.9.6,loss
159,NETWORKING,9,Observation,7,NETWORKING.9.7,throughput
160,NETWORKING,9,Observation,8,NETWORKING.9.8,health
161,NETWORKING,9,Observation,9,NETWORKING.9.9,provenance
162,STORAGE_ISOLATION,1,Medium,1,STORAGE_ISOLATION.1.1,magnetic disk
163,STORAGE_ISOLATION,1,Medium,2,STORAGE_ISOLATION.1.2,solid-state flash
164,STORAGE_ISOLATION,1,Medium,3,STORAGE_ISOLATION.1.3,optical
165,STORAGE_ISOLATION,1,Medium,4,STORAGE_ISOLATION.1.4,tape
166,STORAGE_ISOLATION,1,Medium,5,STORAGE_ISOLATION.1.5,volatile memory
167,STORAGE_ISOLATION,1,Medium,6,STORAGE_ISOLATION.1.6,persistent memory
168,STORAGE_ISOLATION,1,Medium,7,STORAGE_ISOLATION.1.7,removable media
169,STORAGE_ISOLATION,1,Medium,8,STORAGE_ISOLATION.1.8,remote storage
170,STORAGE_ISOLATION,1,Medium,9,STORAGE_ISOLATION.1.9,cloud logical media
171,STORAGE_ISOLATION,2,Block,1,STORAGE_ISOLATION.2.1,sector
172,STORAGE_ISOLATION,2,Block,2,STORAGE_ISOLATION.2.2,block
173,STORAGE_ISOLATION,2,Block,3,STORAGE_ISOLATION.2.3,LBA
174,STORAGE_ISOLATION,2,Block,4,STORAGE_ISOLATION.2.4,read
175,STORAGE_ISOLATION,2,Block,5,STORAGE_ISOLATION.2.5,write
176,STORAGE_ISOLATION,2,Block,6,STORAGE_ISOLATION.2.6,flush
177,STORAGE_ISOLATION,2,Block,7,STORAGE_ISOLATION.2.7,trim/discard
178,STORAGE_ISOLATION,2,Block,8,STORAGE_ISOLATION.2.8,atomicity
179,STORAGE_ISOLATION,2,Block,9,STORAGE_ISOLATION.2.9,integrity tag
180,STORAGE_ISOLATION,3,Controller,1,STORAGE_ISOLATION.3.1,device controller
181,STORAGE_ISOLATION,3,Controller,2,STORAGE_ISOLATION.3.2,queue
182,STORAGE_ISOLATION,3,Controller,3,STORAGE_ISOLATION.3.3,command
183,STORAGE_ISOLATION,3,Controller,4,STORAGE_ISOLATION.3.4,completion
184,STORAGE_ISOLATION,3,Controller,5,STORAGE_ISOLATION.3.5,firmware
185,STORAGE_ISOLATION,3,Controller,6,STORAGE_ISOLATION.3.6,cache
186,STORAGE_ISOLATION,3,Controller,7,STORAGE_ISOLATION.3.7,namespace
187,STORAGE_ISOLATION,3,Controller,8,STORAGE_ISOLATION.3.8,reset
188,STORAGE_ISOLATION,3,Controller,9,STORAGE_ISOLATION.3.9,health telemetry
189,STORAGE_ISOLATION,4,Bus,1,STORAGE_ISOLATION.4.1,PATA/IDE
190,STORAGE_ISOLATION,4,Bus,2,STORAGE_ISOLATION.4.2,SCSI
191,STORAGE_ISOLATION,4,Bus,3,STORAGE_ISOLATION.4.3,SATA
192,STORAGE_ISOLATION,4,Bus,4,STORAGE_ISOLATION.4.4,SAS
193,STORAGE_ISOLATION,4,Bus,5,STORAGE_ISOLATION.4.5,PCIe
194,STORAGE_ISOLATION,4,Bus,6,STORAGE_ISOLATION.4.6,NVMe
195,STORAGE_ISOLATION,4,Bus,7,STORAGE_ISOLATION.4.7,USB mass storage
196,STORAGE_ISOLATION,4,Bus,8,STORAGE_ISOLATION.4.8,fabric transport
197,STORAGE_ISOLATION,4,Bus,9,STORAGE_ISOLATION.4.9,DMA
198,STORAGE_ISOLATION,5,Logical boundary,1,STORAGE_ISOLATION.5.1,partition
199,STORAGE_ISOLATION,5,Logical boundary,2,STORAGE_ISOLATION.5.2,volume
200,STORAGE_ISOLATION,5,Logical boundary,3,STORAGE_ISOLATION.5.3,namespace
201,STORAGE_ISOLATION,5,Logical boundary,4,STORAGE_ISOLATION.5.4,filesystem
202,STORAGE_ISOLATION,5,Logical boundary,5,STORAGE_ISOLATION.5.5,mount
203,STORAGE_ISOLATION,5,Logical boundary,6,STORAGE_ISOLATION.5.6,read-only state
204,STORAGE_ISOLATION,5,Logical boundary,7,STORAGE_ISOLATION.5.7,ACL/permission
205,STORAGE_ISOLATION,5,Logical boundary,8,STORAGE_ISOLATION.5.8,quota
206,STORAGE_ISOLATION,5,Logical boundary,9,STORAGE_ISOLATION.5.9,snapshot
207,STORAGE_ISOLATION,6,Cryptographic boundary,1,STORAGE_ISOLATION.6.1,data-encryption key
208,STORAGE_ISOLATION,6,Cryptographic boundary,2,STORAGE_ISOLATION.6.2,key-encryption key
209,STORAGE_ISOLATION,6,Cryptographic boundary,3,STORAGE_ISOLATION.6.3,volume encryption
210,STORAGE_ISOLATION,6,Cryptographic boundary,4,STORAGE_ISOLATION.6.4,authenticated encryption
211,STORAGE_ISOLATION,6,Cryptographic boundary,5,STORAGE_ISOLATION.6.5,key escrow
212,STORAGE_ISOLATION,6,Cryptographic boundary,6,STORAGE_ISOLATION.6.6,key rotation
213,STORAGE_ISOLATION,6,Cryptographic boundary,7,STORAGE_ISOLATION.6.7,cryptographic erase
214,STORAGE_ISOLATION,6,Cryptographic boundary,8,STORAGE_ISOLATION.6.8,key zeroization
215,STORAGE_ISOLATION,6,Cryptographic boundary,9,STORAGE_ISOLATION.6.9,recovery key
216,STORAGE_ISOLATION,7,Device boundary,1,STORAGE_ISOLATION.7.1,offline device
217,STORAGE_ISOLATION,7,Device boundary,2,STORAGE_ISOLATION.7.2,unbound driver
218,STORAGE_ISOLATION,7,Device boundary,3,STORAGE_ISOLATION.7.3,IOMMU group
219,STORAGE_ISOLATION,7,Device boundary,4,STORAGE_ISOLATION.7.4,DMA remap
220,STORAGE_ISOLATION,7,Device boundary,5,STORAGE_ISOLATION.7.5,VFIO assignment
221,STORAGE_ISOLATION,7,Device boundary,6,STORAGE_ISOLATION.7.6,controller passthrough
222,STORAGE_ISOLATION,7,Device boundary,7,STORAGE_ISOLATION.7.7,hot-unplug
223,STORAGE_ISOLATION,7,Device boundary,8,STORAGE_ISOLATION.7.8,separate controller
224,STORAGE_ISOLATION,7,Device boundary,9,STORAGE_ISOLATION.7.9,device allowlist
225,STORAGE_ISOLATION,8,Physical boundary,1,STORAGE_ISOLATION.8.1,data cable removed
226,STORAGE_ISOLATION,8,Physical boundary,2,STORAGE_ISOLATION.8.2,power removed
227,STORAGE_ISOLATION,8,Physical boundary,3,STORAGE_ISOLATION.8.3,write blocker
228,STORAGE_ISOLATION,8,Physical boundary,4,STORAGE_ISOLATION.8.4,removable enclosure
229,STORAGE_ISOLATION,8,Physical boundary,5,STORAGE_ISOLATION.8.5,air gap
230,STORAGE_ISOLATION,8,Physical boundary,6,STORAGE_ISOLATION.8.6,locked enclosure
231,STORAGE_ISOLATION,8,Physical boundary,7,STORAGE_ISOLATION.8.7,separate host
232,STORAGE_ISOLATION,8,Physical boundary,8,STORAGE_ISOLATION.8.8,physical removal
233,STORAGE_ISOLATION,8,Physical boundary,9,STORAGE_ISOLATION.8.9,destruction/sanitization
234,STORAGE_ISOLATION,9,Verification,1,STORAGE_ISOLATION.9.1,device inventory
235,STORAGE_ISOLATION,9,Verification,2,STORAGE_ISOLATION.9.2,serial identity
236,STORAGE_ISOLATION,9,Verification,3,STORAGE_ISOLATION.9.3,hash
237,STORAGE_ISOLATION,9,Verification,4,STORAGE_ISOLATION.9.4,read-only verification
238,STORAGE_ISOLATION,9,Verification,5,STORAGE_ISOLATION.9.5,write test prohibition
239,STORAGE_ISOLATION,9,Verification,6,STORAGE_ISOLATION.9.6,audit log
240,STORAGE_ISOLATION,9,Verification,7,STORAGE_ISOLATION.9.7,sanitization validation
241,STORAGE_ISOLATION,9,Verification,8,STORAGE_ISOLATION.9.8,chain of custody
242,STORAGE_ISOLATION,9,Verification,9,STORAGE_ISOLATION.9.9,restore test
243,JAVA,1,Lexical,1,JAVA.1.1,Unicode input
244,JAVA,1,Lexical,2,JAVA.1.2,token
245,JAVA,1,Lexical,3,JAVA.1.3,identifier
246,JAVA,1,Lexical,4,JAVA.1.4,keyword
247,JAVA,1,Lexical,5,JAVA.1.5,literal
248,JAVA,1,Lexical,6,JAVA.1.6,separator
249,JAVA,1,Lexical,7,JAVA.1.7,operator
250,JAVA,1,Lexical,8,JAVA.1.8,comment
251,JAVA,1,Lexical,9,JAVA.1.9,source unit
252,JAVA,2,Types,1,JAVA.2.1,boolean
253,JAVA,2,Types,2,JAVA.2.2,byte
254,JAVA,2,Types,3,JAVA.2.3,short
255,JAVA,2,Types,4,JAVA.2.4,int
256,JAVA,2,Types,5,JAVA.2.5,long
257,JAVA,2,Types,6,JAVA.2.6,char
258,JAVA,2,Types,7,JAVA.2.7,float
259,JAVA,2,Types,8,JAVA.2.8,double
260,JAVA,2,Types,9,JAVA.2.9,reference
261,JAVA,3,Control,1,JAVA.3.1,expression
262,JAVA,3,Control,2,JAVA.3.2,statement
263,JAVA,3,Control,3,JAVA.3.3,block
264,JAVA,3,Control,4,JAVA.3.4,if
265,JAVA,3,Control,5,JAVA.3.5,switch
266,JAVA,3,Control,6,JAVA.3.6,loop
267,JAVA,3,Control,7,JAVA.3.7,break/continue
268,JAVA,3,Control,8,JAVA.3.8,exception
269,JAVA,3,Control,9,JAVA.3.9,return
270,JAVA,4,Object model,1,JAVA.4.1,class
271,JAVA,4,Object model,2,JAVA.4.2,interface
272,JAVA,4,Object model,3,JAVA.4.3,object
273,JAVA,4,Object model,4,JAVA.4.4,field
274,JAVA,4,Object model,5,JAVA.4.5,constructor
275,JAVA,4,Object model,6,JAVA.4.6,inheritance
276,JAVA,4,Object model,7,JAVA.4.7,polymorphism
277,JAVA,4,Object model,8,JAVA.4.8,encapsulation
278,JAVA,4,Object model,9,JAVA.4.9,record/value carrier
279,JAVA,5,Call model,1,JAVA.5.1,method
280,JAVA,5,Call model,2,JAVA.5.2,parameter
281,JAVA,5,Call model,3,JAVA.5.3,argument
282,JAVA,5,Call model,4,JAVA.5.4,return value
283,JAVA,5,Call model,5,JAVA.5.5,overload
284,JAVA,5,Call model,6,JAVA.5.6,override
285,JAVA,5,Call model,7,JAVA.5.7,dynamic dispatch
286,JAVA,5,Call model,8,JAVA.5.8,stack frame
287,JAVA,5,Call model,9,JAVA.5.9,native boundary
288,JAVA,6,Memory,1,JAVA.6.1,heap
289,JAVA,6,Memory,2,JAVA.6.2,stack
290,JAVA,6,Memory,3,JAVA.6.3,reference
291,JAVA,6,Memory,4,JAVA.6.4,allocation
292,JAVA,6,Memory,5,JAVA.6.5,reachability
293,JAVA,6,Memory,6,JAVA.6.6,garbage collection
294,JAVA,6,Memory,7,JAVA.6.7,finalization/cleanup
295,JAVA,6,Memory,8,JAVA.6.8,memory barrier
296,JAVA,6,Memory,9,JAVA.6.9,memory model
297,JAVA,7,Concurrency,1,JAVA.7.1,thread
298,JAVA,7,Concurrency,2,JAVA.7.2,monitor
299,JAVA,7,Concurrency,3,JAVA.7.3,lock
300,JAVA,7,Concurrency,4,JAVA.7.4,volatile
301,JAVA,7,Concurrency,5,JAVA.7.5,atomic operation
302,JAVA,7,Concurrency,6,JAVA.7.6,executor/task
303,JAVA,7,Concurrency,7,JAVA.7.7,future
304,JAVA,7,Concurrency,8,JAVA.7.8,virtual thread
305,JAVA,7,Concurrency,9,JAVA.7.9,structured concurrency
306,JAVA,8,VM,1,JAVA.8.1,class file
307,JAVA,8,VM,2,JAVA.8.2,bytecode
308,JAVA,8,VM,3,JAVA.8.3,operand stack
309,JAVA,8,VM,4,JAVA.8.4,local variable array
310,JAVA,8,VM,5,JAVA.8.5,class loader
311,JAVA,8,VM,6,JAVA.8.6,verifier
312,JAVA,8,VM,7,JAVA.8.7,interpreter
313,JAVA,8,VM,8,JAVA.8.8,JIT compiler
314,JAVA,8,VM,9,JAVA.8.9,runtime image
315,JAVA,9,Evolution,1,JAVA.9.1,package
316,JAVA,9,Evolution,2,JAVA.9.2,module
317,JAVA,9,Evolution,3,JAVA.9.3,generic type
318,JAVA,9,Evolution,4,JAVA.9.4,annotation
319,JAVA,9,Evolution,5,JAVA.9.5,lambda
320,JAVA,9,Evolution,6,JAVA.9.6,pattern
321,JAVA,9,Evolution,7,JAVA.9.7,sealed type
322,JAVA,9,Evolution,8,JAVA.9.8,preview feature
323,JAVA,9,Evolution,9,JAVA.9.9,release cadence
324,FENG_SHUI_SPATIAL,1,Site,1,FENG_SHUI_SPATIAL.1.1,terrain
325,FENG_SHUI_SPATIAL,1,Site,2,FENG_SHUI_SPATIAL.1.2,water relationship
326,FENG_SHUI_SPATIAL,1,Site,3,FENG_SHUI_SPATIAL.1.3,approach
327,FENG_SHUI_SPATIAL,1,Site,4,FENG_SHUI_SPATIAL.1.4,shelter
328,FENG_SHUI_SPATIAL,1,Site,5,FENG_SHUI_SPATIAL.1.5,exposure
329,FENG_SHUI_SPATIAL,1,Site,6,FENG_SHUI_SPATIAL.1.6,view
330,FENG_SHUI_SPATIAL,1,Site,7,FENG_SHUI_SPATIAL.1.7,noise
331,FENG_SHUI_SPATIAL,1,Site,8,FENG_SHUI_SPATIAL.1.8,microclimate
332,FENG_SHUI_SPATIAL,1,Site,9,FENG_SHUI_SPATIAL.1.9,context
333,FENG_SHUI_SPATIAL,2,Boundary,1,FENG_SHUI_SPATIAL.2.1,inside
334,FENG_SHUI_SPATIAL,2,Boundary,2,FENG_SHUI_SPATIAL.2.2,outside
335,FENG_SHUI_SPATIAL,2,Boundary,3,FENG_SHUI_SPATIAL.2.3,threshold
336,FENG_SHUI_SPATIAL,2,Boundary,4,FENG_SHUI_SPATIAL.2.4,wall
337,FENG_SHUI_SPATIAL,2,Boundary,5,FENG_SHUI_SPATIAL.2.5,opening
338,FENG_SHUI_SPATIAL,2,Boundary,6,FENG_SHUI_SPATIAL.2.6,edge
339,FENG_SHUI_SPATIAL,2,Boundary,7,FENG_SHUI_SPATIAL.2.7,buffer
340,FENG_SHUI_SPATIAL,2,Boundary,8,FENG_SHUI_SPATIAL.2.8,privacy
341,FENG_SHUI_SPATIAL,2,Boundary,9,FENG_SHUI_SPATIAL.2.9,protection
342,FENG_SHUI_SPATIAL,3,Entrance,1,FENG_SHUI_SPATIAL.3.1,arrival
343,FENG_SHUI_SPATIAL,3,Entrance,2,FENG_SHUI_SPATIAL.3.2,door visibility
344,FENG_SHUI_SPATIAL,3,Entrance,3,FENG_SHUI_SPATIAL.3.3,clearance
345,FENG_SHUI_SPATIAL,3,Entrance,4,FENG_SHUI_SPATIAL.3.4,transition
346,FENG_SHUI_SPATIAL,3,Entrance,5,FENG_SHUI_SPATIAL.3.5,first view
347,FENG_SHUI_SPATIAL,3,Entrance,6,FENG_SHUI_SPATIAL.3.6,compression
348,FENG_SHUI_SPATIAL,3,Entrance,7,FENG_SHUI_SPATIAL.3.7,release
349,FENG_SHUI_SPATIAL,3,Entrance,8,FENG_SHUI_SPATIAL.3.8,welcome
350,FENG_SHUI_SPATIAL,3,Entrance,9,FENG_SHUI_SPATIAL.3.9,obstruction
351,FENG_SHUI_SPATIAL,4,Path / flow,1,FENG_SHUI_SPATIAL.4.1,route
352,FENG_SHUI_SPATIAL,4,Path / flow,2,FENG_SHUI_SPATIAL.4.2,turn
353,FENG_SHUI_SPATIAL,4,Path / flow,3,FENG_SHUI_SPATIAL.4.3,branch
354,FENG_SHUI_SPATIAL,4,Path / flow,4,FENG_SHUI_SPATIAL.4.4,crossing
355,FENG_SHUI_SPATIAL,4,Path / flow,5,FENG_SHUI_SPATIAL.4.5,dead end
356,FENG_SHUI_SPATIAL,4,Path / flow,6,FENG_SHUI_SPATIAL.4.6,circulation width
357,FENG_SHUI_SPATIAL,4,Path / flow,7,FENG_SHUI_SPATIAL.4.7,speed
358,FENG_SHUI_SPATIAL,4,Path / flow,8,FENG_SHUI_SPATIAL.4.8,pause
359,FENG_SHUI_SPATIAL,4,Path / flow,9,FENG_SHUI_SPATIAL.4.9,destination
360,FENG_SHUI_SPATIAL,5,Center,1,FENG_SHUI_SPATIAL.5.1,center of activity
361,FENG_SHUI_SPATIAL,5,Center,2,FENG_SHUI_SPATIAL.5.2,anchor
362,FENG_SHUI_SPATIAL,5,Center,3,FENG_SHUI_SPATIAL.5.3,void
363,FENG_SHUI_SPATIAL,5,Center,4,FENG_SHUI_SPATIAL.5.4,gathering point
364,FENG_SHUI_SPATIAL,5,Center,5,FENG_SHUI_SPATIAL.5.5,balance point
365,FENG_SHUI_SPATIAL,5,Center,6,FENG_SHUI_SPATIAL.5.6,visual center
366,FENG_SHUI_SPATIAL,5,Center,7,FENG_SHUI_SPATIAL.5.7,functional center
367,FENG_SHUI_SPATIAL,5,Center,8,FENG_SHUI_SPATIAL.5.8,clear center
368,FENG_SHUI_SPATIAL,5,Center,9,FENG_SHUI_SPATIAL.5.9,distributed center
