<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: TattooSkillAtlas_405.csv>index,skill,family_index,family,category_index,category_id,category,family_purpose,surface_mode,source_bundle
53,CREATE,6,Construction Method,9,CREATE.6.9,Variant branch,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
54,CREATE,7,Tattoo Readability,1,CREATE.7.1,Distance read,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
55,CREATE,7,Tattoo Readability,2,CREATE.7.2,Final-size read,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
56,CREATE,7,Tattoo Readability,3,CREATE.7.3,Detail-density budget,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
57,CREATE,7,Tattoo Readability,4,CREATE.7.4,Line-spacing budget,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
58,CREATE,7,Tattoo Readability,5,CREATE.7.5,Contrast hierarchy,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
59,CREATE,7,Tattoo Readability,6,CREATE.7.6,Black anchor,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
60,CREATE,7,Tattoo Readability,7,CREATE.7.7,Skin-break allowance,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
61,CREATE,7,Tattoo Readability,8,CREATE.7.8,Edge clarity,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
62,CREATE,7,Tattoo Readability,9,CREATE.7.9,Aging margin,Protect the design from becoming visually clever but physically unreadable.,implicit,CREATE:2video+1manual
63,CREATE,8,Originality Transform,1,CREATE.8.1,Trope distillation,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
64,CREATE,8,Originality Transform,2,CREATE.8.2,Descriptor abstraction,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
65,CREATE,8,Originality Transform,3,CREATE.8.3,Source recombination,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
66,CREATE,8,Originality Transform,4,CREATE.8.4,Motif mutation,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
67,CREATE,8,Originality Transform,5,CREATE.8.5,Silhouette mutation,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
68,CREATE,8,Originality Transform,6,CREATE.8.6,Proportion mutation,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
69,CREATE,8,Originality Transform,7,CREATE.8.7,Context shift,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
70,CREATE,8,Originality Transform,8,CREATE.8.8,Signature-cue removal,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
71,CREATE,8,Originality Transform,9,CREATE.8.9,Transformation provenance,Turn influences into a new design language instead of copying a source.,implicit,CREATE:2video+1manual
72,CREATE,9,Direction Selection,1,CREATE.9.1,Candidate breadth,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
73,CREATE,9,Direction Selection,2,CREATE.9.2,Candidate diversity,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
74,CREATE,9,Direction Selection,3,CREATE.9.3,Internal coherence,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
75,CREATE,9,Direction Selection,4,CREATE.9.4,Placement fit,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
76,CREATE,9,Direction Selection,5,CREATE.9.5,Tattooability,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
77,CREATE,9,Direction Selection,6,CREATE.9.6,Originality check,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
78,CREATE,9,Direction Selection,7,CREATE.9.7,Emotional fit,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
79,CREATE,9,Direction Selection,8,CREATE.9.8,Client preference fit,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
80,CREATE,9,Direction Selection,9,CREATE.9.9,Top-three rationale,"Choose strong, meaningfully different directions before polishing.",implicit,CREATE:2video+1manual
81,REFINE,1,Line Architecture,1,REFINE.1.1,Line hierarchy,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
82,REFINE,1,Line Architecture,2,REFINE.1.2,Taper control,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
83,REFINE,1,Line Architecture,3,REFINE.1.3,Weight consistency,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
84,REFINE,1,Line Architecture,4,REFINE.1.4,Contour closure,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
85,REFINE,1,Line Architecture,5,REFINE.1.5,Intersection cleanup,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
86,REFINE,1,Line Architecture,6,REFINE.1.6,Tangent cleanup,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
87,REFINE,1,Line Architecture,7,REFINE.1.7,Curve quality,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
88,REFINE,1,Line Architecture,8,REFINE.1.8,Edge rhythm,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
89,REFINE,1,Line Architecture,9,REFINE.1.9,Line economy,"Make the line system deliberate, consistent, and tattoo-readable.",implicit,REFINE:2video+1manual
90,REFINE,2,Value & Contrast,1,REFINE.2.1,Black-to-skin ratio,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
91,REFINE,2,Value & Contrast,2,REFINE.2.2,Grey-value bands,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
92,REFINE,2,Value & Contrast,3,REFINE.2.3,Focal contrast,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
93,REFINE,2,Value & Contrast,4,REFINE.2.4,Background recession,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
94,REFINE,2,Value & Contrast,5,REFINE.2.5,Depth separation,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
95,REFINE,2,Value & Contrast,6,REFINE.2.6,Black anchors,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
96,REFINE,2,Value & Contrast,7,REFINE.2.7,Light channels,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
97,REFINE,2,Value & Contrast,8,REFINE.2.8,Midtone restraint,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
98,REFINE,2,Value & Contrast,9,REFINE.2.9,Contrast-at-size test,Build depth and longevity through intentional value separation.,implicit,REFINE:2video+1manual
99,REFINE,3,Negative Space,1,REFINE.3.1,Breathing room,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
100,REFINE,3,Negative Space,2,REFINE.3.2,Negative-space channels,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
101,REFINE,3,Negative Space,3,REFINE.3.3,Island control,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
102,REFINE,3,Negative Space,4,REFINE.3.4,Counterform quality,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
103,REFINE,3,Negative Space,5,REFINE.3.5,Minimum gaps,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
104,REFINE,3,Negative Space,6,REFINE.3.6,Edge release,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
105,REFINE,3,Negative Space,7,REFINE.3.7,Internal windows,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
106,REFINE,3,Negative Space,8,REFINE.3.8,Skin-tone balance,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
107,REFINE,3,Negative Space,9,REFINE.3.9,Congestion threshold,Treat exposed skin as active structure rather than leftover emptiness.,implicit,REFINE:2video+1manual
108,REFINE,4,Shape & Form,1,REFINE.4.1,Proportion,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
109,REFINE,4,Shape & Form,2,REFINE.4.2,Silhouette correction,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
110,REFINE,4,Shape & Form,3,REFINE.4.3,Contour rhythm,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
111,REFINE,4,Shape & Form,4,REFINE.4.4,Curvature,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
112,REFINE,4,Shape & Form,5,REFINE.4.5,Perspective,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
113,REFINE,4,Shape & Form,6,REFINE.4.6,Foreshortening,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
114,REFINE,4,Shape & Form,7,REFINE.4.7,Volume cues,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
115,REFINE,4,Shape & Form,8,REFINE.4.8,Overlap logic,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
116,REFINE,4,Shape & Form,9,REFINE.4.9,Simplification,Correct geometry and volume before surface detail.,implicit,REFINE:2video+1manual
117,REFINE,5,Texture & Shading Language,1,REFINE.5.1,Solid packing map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
118,REFINE,5,Texture & Shading Language,2,REFINE.5.2,Whip-gradient map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
119,REFINE,5,Texture & Shading Language,3,REFINE.5.3,Stipple map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
120,REFINE,5,Texture & Shading Language,4,REFINE.5.4,Hatch map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
121,REFINE,5,Texture & Shading Language,5,REFINE.5.5,Dotwork map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
122,REFINE,5,Texture & Shading Language,6,REFINE.5.6,Soft-wash map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
123,REFINE,5,Texture & Shading Language,7,REFINE.5.7,Hard-fill map,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
124,REFINE,5,Texture & Shading Language,8,REFINE.5.8,Material texture,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
125,REFINE,5,Texture & Shading Language,9,REFINE.5.9,Texture restraint,Use one coherent texture/shading system appropriate to the design.,implicit,REFINE:2video+1manual
126,REFINE,6,Composition Polish,1,REFINE.6.1,Focal hierarchy,Make every element serve the primary read.,implicit,REFINE:2video+1manual
127,REFINE,6,Composition Polish,2,REFINE.6.2,Secondary support,Make every element serve the primary read.,implicit,REFINE:2video+1manual
128,REFINE,6,Composition Polish,3,REFINE.6.3,Repetition rhythm,Make every element serve the primary read.,implicit,REFINE:2video+1manual
129,REFINE,6,Composition Polish,4,REFINE.6.4,Symmetry balance,Make every element serve the primary read.,implicit,REFINE:2video+1manual
130,REFINE,6,Composition Polish,5,REFINE.6.5,Asymmetry balance,Make every element serve the primary read.,implicit,REFINE:2video+1manual
131,REFINE,6,Composition Polish,6,REFINE.6.6,Directional flow,Make every element serve the primary read.,implicit,REFINE:2video+1manual
132,REFINE,6,Composition Polish,7,REFINE.6.7,Crop refinement,Make every element serve the primary read.,implicit,REFINE:2video+1manual
133,REFINE,6,Composition Polish,8,REFINE.6.8,Background integration,Make every element serve the primary read.,implicit,REFINE:2video+1manual
134,REFINE,6,Composition Polish,9,REFINE.6.9,Transition quality,Make every element serve the primary read.,implicit,REFINE:2video+1manual
135,REFINE,7,Style Consistency,1,REFINE.7.1,Line-style consistency,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
136,REFINE,7,Style Consistency,2,REFINE.7.2,Shading-style consistency,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
137,REFINE,7,Style Consistency,3,REFINE.7.3,Motif vocabulary,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
138,REFINE,7,Style Consistency,4,REFINE.7.4,Palette discipline,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
139,REFINE,7,Style Consistency,5,REFINE.7.5,Ornament rules,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
140,REFINE,7,Style Consistency,6,REFINE.7.6,Geometry system,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
141,REFINE,7,Style Consistency,7,REFINE.7.7,Detail-scale consistency,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
142,REFINE,7,Style Consistency,8,REFINE.7.8,Edge treatment,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
143,REFINE,7,Style Consistency,9,REFINE.7.9,Signature restraint,Prevent a piece from becoming a pile of unrelated visual tricks.,implicit,REFINE:2video+1manual
144,REFINE,8,Transform & Edit,1,REFINE.8.1,Selection isolation,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
145,REFINE,8,Transform & Edit,2,REFINE.8.2,Uniform scale,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
146,REFINE,8,Transform & Edit,3,REFINE.8.3,Distort,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
147,REFINE,8,Transform & Edit,4,REFINE.8.4,Warp mesh,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
148,REFINE,8,Transform & Edit,5,REFINE.8.5,Rotation,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
149,REFINE,8,Transform & Edit,6,REFINE.8.6,Flip/mirror,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
150,REFINE,8,Transform & Edit,7,REFINE.8.7,Snapping/alignment,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
151,REFINE,8,Transform & Edit,8,REFINE.8.8,Interpolation choice,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
152,REFINE,8,Transform & Edit,9,REFINE.8.9,Non-destructive layering,Use digital transforms precisely and non-destructively.,implicit,REFINE:2video+1manual
153,REFINE,9,Review & QC,1,REFINE.9.1,Zoom-out test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
154,REFINE,9,Review & QC,2,REFINE.9.2,Mirror test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
155,REFINE,9,Review & QC,3,REFINE.9.3,Grayscale test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
156,REFINE,9,Review & QC,4,REFINE.9.4,Thumbnail test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
157,REFINE,9,Review & QC,5,REFINE.9.5,Final-size test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
158,REFINE,9,Review & QC,6,REFINE.9.6,Body-mockup test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
159,REFINE,9,Review & QC,7,REFINE.9.7,Stencil-preview test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
160,REFINE,9,Review & QC,8,REFINE.9.8,Print-preview test,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
161,REFINE,9,Review & QC,9,REFINE.9.9,Revision log,Test the design under views that reveal hidden weaknesses.,implicit,REFINE:2video+1manual
162,PLACE,1,Body Region Geometry,1,PLACE.1.1,Forearm,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
163,PLACE,1,Body Region Geometry,2,PLACE.1.2,Upper arm,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
164,PLACE,1,Body Region Geometry,3,PLACE.1.3,Shoulder,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
165,PLACE,1,Body Region Geometry,4,PLACE.1.4,Chest,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
166,PLACE,1,Body Region Geometry,5,PLACE.1.5,Back,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
167,PLACE,1,Body Region Geometry,6,PLACE.1.6,Thigh,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
168,PLACE,1,Body Region Geometry,7,PLACE.1.7,Calf,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
169,PLACE,1,Body Region Geometry,8,PLACE.1.8,Ribs,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
170,PLACE,1,Body Region Geometry,9,PLACE.1.9,Wrist/hand,Understand the characteristic geometry of common placements.,implicit,PLACE:2video+1manual
171,PLACE,2,Shape-to-Area Match,1,PLACE.2.1,Vertical composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
172,PLACE,2,Shape-to-Area Match,2,PLACE.2.2,Horizontal composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
173,PLACE,2,Shape-to-Area Match,3,PLACE.2.3,Radial composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
174,PLACE,2,Shape-to-Area Match,4,PLACE.2.4,Compact composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
175,PLACE,2,Shape-to-Area Match,5,PLACE.2.5,Wrap composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
176,PLACE,2,Shape-to-Area Match,6,PLACE.2.6,Sleeve composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
177,PLACE,2,Shape-to-Area Match,7,PLACE.2.7,Panel composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
178,PLACE,2,Shape-to-Area Match,8,PLACE.2.8,Band composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
179,PLACE,2,Shape-to-Area Match,9,PLACE.2.9,Gap-fill composition,Match composition type to the geometry available.,implicit,PLACE:2video+1manual
180,PLACE,3,Anatomical Flow,1,PLACE.3.1,Muscle S-curve,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
181,PLACE,3,Anatomical Flow,2,PLACE.3.2,Bone-line relationship,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
182,PLACE,3,Anatomical Flow,3,PLACE.3.3,Limb axis,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
183,PLACE,3,Anatomical Flow,4,PLACE.3.4,Joint motion,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
184,PLACE,3,Anatomical Flow,5,PLACE.3.5,Contraction/extension,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
185,PLACE,3,Anatomical Flow,6,PLACE.3.6,Resting posture,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
186,PLACE,3,Anatomical Flow,7,PLACE.3.7,Primary viewing angle,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
187,PLACE,3,Anatomical Flow,8,PLACE.3.8,Skin-fold behavior,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
188,PLACE,3,Anatomical Flow,9,PLACE.3.9,Gravity/orientation,Make the tattoo move with the person instead of fighting the body.,implicit,PLACE:2video+1manual
189,PLACE,4,Fit & Wrap,1,PLACE.4.1,Primary-view containment,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
190,PLACE,4,Fit & Wrap,2,PLACE.4.2,Wrap threshold,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
191,PLACE,4,Fit & Wrap,3,PLACE.4.3,Overlap prevention,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
192,PLACE,4,Fit & Wrap,4,PLACE.4.4,Seam planning,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
193,PLACE,4,Fit & Wrap,5,PLACE.4.5,Edge landing,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
194,PLACE,4,Fit & Wrap,6,PLACE.4.6,Circumference response,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
195,PLACE,4,Fit & Wrap,7,PLACE.4.7,Limb taper response,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
196,PLACE,4,Fit & Wrap,8,PLACE.4.8,Articulation clearance,Control how much of the design turns away from the primary view.,implicit,PLACE:2video+1manual
